content,score
"Halo Riliv! Aplikasi kalian sebenarnya bagus. Really appreciated! Tapi, sangat disayangkan kenapa aplikasinya selalu ngelag dan terus-terusan ""Proses Gagal 422"". Padahal udah aku un instal, instal lagi, ganti jaringan yang lebih baik, tetap aja begitu.. Tolonglahh diperbaiki, sangat disayangkan sekali dengan kendala yang terus menerus loading, sangat bikin gak nyaman",1
"Parah nih gara2 ini aplikasi jadi masang alarm mulu tiap hari, padhal udh dihapus aplikasi nya to tetep aja alarm nya gak bisa dihapus dan itu setiap malam krn dulu set alarm nua jam 9 malem. Coba ke kalender tetep gk bisa, harus dihapus satu2 tiap hari. Nyesel asli pasang aplikasi ini. Meskipun ya emang lumayan bagus app nya, buat kalian yg mau coba jgn2 coba2 set alarm buat meditasi. Krn itu bener2 setting nya tiap hari entah sampai kapan.",1
Ternyata banyak case yang sama. Setelah upgrade ke premium bukannya makin bagus malah makin lambat cuma buat masuk aja🥱 saya pribadi baru aja upgrade yang 1 tahun karna awalnya sebelum upgrade enak bgt meditasi disini. Sayangnya udah jadi premium malah lag terus🥴,1
"Aplikasinya bagus tapi load-nya lamaaaaaaaaa bgt padahal jaringan oke, terus tiba2 ""proses gagal504"" berarti servernya ngga bisa menerima respons tepat waktu. Tolong lebih ditingkatkan lagi.",1
"Buruk. Barusan aku isi jurnal, udah niat nulisnya udah selesai sampe page 11/2. Selama nulis dan tap next pagenya lemot. Pas udah selesai, tiba-tiba lemot lagi. Akhirnya nggak kesimpen. Seharian ini udah mood ancur, tambah ini nulis jurnal sebelum tidur gagal, jadi makin berantakan 😭😭😭",1
Streak selalu tereset. Padahal saya setiap hari meditasi dan menyalakan data seluler,1
Aplikasi ini sangat membantu saya untuk mengenali dan mengendalikan diri saya sendiri,1
"Buat Developer Yth... Ini Gimana ya?? Waktu mau daftar, saya daftar pakai google tdk bisa, trs saya beralih ke email.. Tp udah daftar berkali² sampe ganti email 3 kali kok ttp gak bisa daftar masuk apk?? (Proses login gagal 504) belum lagi loading nya sangat amat lama sekali. Mohon segera diperbaiki. Thanks..",1
"Mohon maaf sebelumnya, tapi untuk pengalaman pribadi saya.... Aplikasi ini memiliki server/jaringan yang sulit padahal kecepatan jaringan saya normal dan membuka aplikasi lain bisa berjalan dengan lancar menggunakan jaringan yang sama",1
"saran baik dari saya, jangan disuruh bayar dlu. kalian gatau org2 yg lagi mendesak banget butuh semangat diluar sana pasti langsung butuh saran, boro2 mikirin transfer uang. bisa aja mereka lagi strees karna ga ada uang makanya butuh saran, harusnya satu kali konseling gratis dlu. kalo bagus pasti dipake terus.. ini hanya saran untuk membangun aplikasi anda lebih baik",1
"Saya sudah bayar, susah2 ingin keluh kesah. Aplikasi malah crash padahal sesi konseling sudah dimulai dan saya belum mendapat feedback dari psikolog untuk masalah saya. Sayang sekali fitur di aplikasi pun tidak memadai untuk saya mengeluhkan pelayanan.",1
"Aplikasi ini membantu untuk mengatasi problem seseorang yg tidak dapat diungkapkan. tapi, kenapa harus berbayar? coba adain free trial dulu, biar orang juga bisa lihat gambaran psikolognya seperti apa, seminggu free trial. ini langsung saja berbayar. banyak orang yg kurang mampu dan punya masalah, tidak kah kalian tidak tergerak hatinya? semoga kedepannya lebih baik lagi.",1
