content,score
"Sangat seru, banyak journal journal keren yang bisa kita isi. bahasa di aplikasi juga sangat ringan sehingga kita merasa seperti sedang mengobrol dengan teman.",5
Saya kira mental saya butuh penanganan. Saat saya mencoba untuk mencari penanganan di aplikasi ini saya sadar bahwa penanganan itu butuh duit. So mungkin bertahan beberapa tahun lagi untuk mendapatkan penanganan mental saya. Terimakasih udah bikin apk inj,5
"Aplikasinya sangat membantu saya,di dalam aplikasi ini banyak ilmu yang bermanfaat,tampilan dari aplikasi yang menarik,banyaknya pilihan yang bisa saya pilih,dan kenyamanan saya saat menggunakan aplikasi ini.",5
Aplikasi yang dapat membantu dalam menjaga kesehatan mental dan memperbaiki kesehatan mental,5
"Aplikasi ini sangat bagus,saya ingin berterimakasiih yg banyak riliv sudah membantu menemani masa masa sulit saya",5
Sejauh ini membantu. Semoga bisa selalu menemani dan membuat kesehatan mental membaik,5
"Bagus banget banget bangett, semua orang yang pengen membentuk kebiasaan baru terutama dalam mendisiplinkan diri dan menjaga kesehatan mental butuh iniii agar lebih terarah. Makasih ya tim yang buat app ini dgn segala fitur nya yg keren dan fungsional❤️❤️",5
"Fiturnya banyak, aplikasi mudah di pahami, tampilan menarik, banyak firtur yang sangat membantu dan banyak fitur yg bisa di eksplore setiap hari nya. Membantu saya mengatasi kecemasan pada diri saya",5
Aplikasi nya membantu aku dalam menjalankan kehidupan dan memperbaiki diri terima kasih Riliv,5
"Aplikasinya bagus sekali, bener2 ngebantu menguraikan kerumitan yang ada di kepala, tapi mungkin bisa ditingkatkan lagi agar loading di apps nya bisa cepat seperti aplikasi lain, karena di HP saya butuh 3-5 detik untuk menunggu loading ntah itu gambar atau transisi pertanyaan di jurnal, walau begitu masih bagus kok, semangatt dan terimakasih",5
Sangat membantu kita melupakan permasalahan yg dialami dalam kehidupan sehari-hari,5
"Tampilan aplikasinya simpel dan mudah dipahami, fiturnya sangat lengkap,sesi meditasi dan cerita sebelum tidur nya sangat menenangkan,sesi konselingnya juga sangat sangat terjangkau harganya dan dapat membantu.Keren",5
"Aplikais yang sangat membantu, sangat mudah menggunakannya",5
Apl nya bagus sangat membantu saya yg kesulitan dan kurang apresiasi terimakasih dan jangan berubah yaa ❤️🤗,5
Aplikasi terobosan yang bagus untuk masyarakat lebih terbuka tentang kesehatan mental,5
bagusss bangett dan sangatt bermanfaatt terimakasihh pembuat aplikasi🥰🥰,5
Meskipun aplikasi tidak bisa diakses karena gadget yang tidak support tapi pihak Riliv menghubungi saya lewat line dan sesi konseling lewat WA. Terimakasih banyak sudah mendengarkan keluh kesah serta masukannya buat support untuk selalu bahagia dan menyediakan waktu untuk me time,5
"menurut saya untuk meditasi, lebih dikurangi untuk percakapan kepada pasien, agar pasilen lebih fokus untuk meditasi, jadi intinya lebih memberi kesempatan untuk meditasi lebih banyak waktu. Tetapi untuk metode Meditasi sudah bagus.",5
"Saya pribadi sangat menyukai aplikasi ini ketika rasanya malas jurnaling di buku dengan mudah saya bisa mengakses di aplikasi riliv di hp saya dimanapun dan kapanpun di tambah dengan fitur2 yg mengarahkan saya untuk menulis apa saja yg berkaitan dengan yg saya rasakan, juga meditasi saya merasa lbih tenang dan damai ketika meditasi di temani hening dari riliv pikiran saya tidak lari2 kemana mana ketika meditasi di riliv beda ketika saya melakukannya sendiri, overthinking, dan insomnia hilang!!!",5
"Aplikasinya bagus banget apalagi ada fitur meditasi yang sangat membantu meringankan kecemasan berlebihan, sangat suka. Terimakasih riliv, tapi sebaiknya diberikan fitur download meditasi jadi bisa tetap diputar walaupun sedang offline 👍",5
"Akhirnya nemu app journal yang cocok sama aku! Suka karena variatif dan gak monoton. Selain journal, meditasinya membantu sekali, Thank you riliv!",5
"Bagus bangettt aplikasinyaaa sukaa sangat membantu buat meditasi dirumah, dan meditasi nya juga bermacam2 jadi bisa di sesuaikan dengan kebutuhan kita .. makasih pengembang udah buat aplikasi ini",5
"Aplikasi yang lumayan membantu. Kode refeal buat akses konten selama 7 hari, ZACrSS. Saya akan merasa sangat senang apabila audionya dapat didownload sehingga bisa diputar secara offline, mungkin bisa dibatasi untuk penyimpanannya hanya berlaku 1-3 hari. Terima kasih riliv.",5
"Terima kasih Riliv sudah membantu mengurangi anxiety dan mood saya yg berubah-ubah :) Biasanya tiap kali fase down pasti lama bgt buat pulih, tapi baru 2-3 kali denger meditasi disini rasa sesak di dada tiap kali ada masalah sudah lumayan berkurang.. bisa untuk pengalihan juga kalo pikiran lagi gak karuan.",5
"Sangat membantu. Tapi tolong ditambahkan juga pembayaran melalui e-wallet. Supaya memudahkan kami untuk berlangganan konten meditasi dan lainnya. Terima kasih, riliv!",5
"Aku baru saja mengalami breakdown yang cukup serius setelah nggak merasakan depresi selama berbulan-bulan. Aku rasa itu karena stress dan tekanan yang bertumpuk. Belum lagi beban menyusahkan orang karena baru-baru ini aku kecelakaan dan ga bisa memakai tangan kananku dengan normal. Aku sign up untuk meditasi riliv. Baru sekali meditasi, aku langsung merasa lebih baik. Aku belum mencoba konsultasi karena belum merasa butuh, tapi aplikasi ini beneran keren. Terus berkembang riliv.",5
"selama aku pakai aplikasi ini semuanya oke oke aja ga ada masalah sama sekali , meditasi meditasi nya juga cukup ko buat aku yang ga terlalu punya banyak masalah soal diri , Membantu banget buat tenangin diri , dan ngebantu juga buat ningkatin kesadarsn diri , aku suka banget sama aplikasi ini karna cukup banyak fitur fitur yang menarikk , its really really worth it to install !! 🐰💜",5
"Aku barusan donlot main bentar trus hapus lagi. Tampilan nya aesthetic bgt. suara nya jernih renyah bgt, sopan banget masuk telinga. Aku suka tp aku uninstall krn missqueen.",5
"Sangat membantu, bahkan untuk orang yang pertama kali melakukan meditasi, serta di mudah kan dengan fitur gratis walaupun terbatas tapi memuaskan dan meyakinkan untuk beli paket yang premium🙏✨",5
"Aplikasinya sangat membantu meningkatkan rileksasi saat tidur. Rasanya sangat cepat menuju Deep Sleep, menjadi pribadi yang lebih tenang dan Baik. Jangan Lupa klik kode : oKlUxl untuk gratis voucher meditasi selama 7 hari yaa..",5
Untuk chat konseling instannya cukup membantu dan terjangkau,5
Kerenn 👍🏽 sangat bermanfaat untuk menunjang semangat aktifitas sehari hari ini untuk meditasinya.. terus saran kalau bisa meditasinya di awal saja berikan instruksi instruksi sehingga saat dipertengahan kita bisa fokus untuk melakukan meditasi . Terimakasih riliv 🙏🏾,5
"Aplikasi yang sangat membantu dalam menenangkan pikiran, I like it. Bisa buat pelajaran, pengalaman, dan lain². Aku sangat merekomendasikan aplikasi ini Tetap semangat ya^^",5
"Baru coba download seminggu,aplikasi bagus membantu saya yang insomia cepat tidur,tidur pulas,biasanya gelisah dan pelariannya hp sampai subuh,sekarang dibawah jam 12 malam sudah ngorok,bahkan nuansa hening rumah nyaman blm 45 menit sudah lelap,terima kasih ya,saya suka apalagi yang gratis😍",5
"Aplikasinya sangat membantu, mempermudah pengguna, dan jelas. Saya pengguna lama yang banyak melihat perubahan/update an pada aplikasi ini yang menjadi lebih baik dari sebelumny. Aplikasi ini selalu mendengar feedback dari pengguna. Jadi banyak perubahan yang sangat membantu pengguna aplikasi riliv. Ada banyak pemilihan/filtur yang dulu tidak ada sekarang pelan"" ada. Terima kasih sudah buat aplikasi sebagus ini, semoga selalu dipertahankan sisi baik dari aplikasi ini.",5
"Dibandingkan datang ke psikolog secara langsung, apps ini menawarkan harga yang sangat jauh lebih murah. Sangat direkomendasikan untuk kawan kawan yang membutuhkan bantuan, karena penawarannya hampir sama seperti saat anda bertemu langsung dengan psikolog, anda bisa dibantu menemukan diri anda dalam posisi yang lebih baik. Semoga apps ini bisa berkembang lebih baik lagi kedepannya, agar semua kawan yang membutuhkan bantuan, bisa dengan mudah dibantu Terima Kasih telah membuat apps ini",5
"Saya baru memulai meditasi sebanyak 2 kali. Setelah meditasi, saya merasa lebih tenang. Selain itu, jurnal di riliv juga membantu saya untuk mengungkapkan seluruh cerita yang tidak bisa saya ungkapkan kepada orang lain. Terima kasih riliv, semoga terus berkembang menjadi lebih baik tanpa mengurasi kualitas yang sebelumnya.",5
saya adalah pelajar yang belum pernah mencoba aplikasi ini.Saat mencoba sesi meditasi di riliv saya merasa pikiran dan beban hidup berkurang mungkin bisa ditambah alunan lagu yang membuat suasana meditasi lebih masuk,5
Sama persis konseling dengan psikolog. lebih efektif karena bisa kapanpun dimanapun saat dibutuhkan. tidak perlu mengatur janji untuk pertemuan. harganya juga terjangkau. semoga dapat membantu setiap org yang membutuhkan💜.,5
Terimakasih Krn udh ada apk ini...saya selalu mengalami tekanan mental yg membuat kecerdasan saya menurun sehingga saya menjadi malas untuk belajar..semoga dengan adanya apk ini saya bisa terbantu untuk tenang dan bisa fokus lagi dengan prestasi yang saya impikan selama ini.semua org pasti berbeda..klw bagi saya... sedikit kata2 yg membuat saya sakit hati. Menjadikan pikiran saya menurun drastis dalam belajar.. terima kasih byk ya!,5
"Mengurangi kecemasan, kegundahan, dan stress yang saya alami. Dengan meditasi, menulis jurnal, dan mood tracker, banyak hal yang ternyata harus saya syukuri meskipun itu berupa ujian. Banyak hal yang bisa dikendalikan, salah satunya emosi negatif, semenjak menggunakan riliv. Terima kasih riliv!",5
"aku pernah ke psikolog langsung dan harga nya mahal ini mnurut aku lumayan harga nya buat apresiasi psikolog jg. Dan malah aku lebih nyaman chat karna jadi bisa lebih detail ceritain nya daripada kalo ketemu langsung malah suka malu, bingung dan suka lupa mau critain apa. Fleksibel juga mau jam brapa. malah waktu nya lebih kaka nya tetep mau nanggepin. Kaka nya detail jg nanyain nya biar tepat nanganin permasalahan nya. cuman notif nya di hape aku suka gamuncul. semoga bisa lebih baik lagi yah",5
"sangat bagus. membantu sekali bagi yang belum pernah meditasi sebelumnya. semoga fiturnya bisa ditingkatkan. karena setelah mengetahui meditasi, cara orang berbeda2 bisa lebih banyak pilihan meditasi lagi.",5
"Halo.. ini aplikasi baru saya coba, dan baru di download udah bagus bangeeet ><. Saya menyesal baru tau aplikasi ini :"" Semoga membantu saya menghilangkan PTSD ku. Karena kalau ke psikiater saya tidak cukup biayanya pasti cukup mahal. Sekali lagi terimakasih untuk para developer yang sudah membuat aplikasi ini. Salam hangat (◍•ᴗ•◍)✧*。",5
"Aplikasinya recommended bngt gampang d gunain, efektif jga. bikin calming.trs ada fitur yg bisa nemenin tidur lbih lelap.ada yg berbayar tpi ga smua kok. Worth to try :). Good luck. You are amazing, no matter what..",5
"Saya mengikuti sesi konseling paket perkenalan. Alhamdulillah sangat membantu. Tingkat stress saya berkurang skalanya. Mba psikolog-nya juga memberikan saran2 stlh sesi berakhir, dan itu sangat membantu saya utk pulih. Terimakasih riliv.",5
"Aplikasinya membantu banget! Saya jadi lumayan rileks, nggak stress atau semurah dulu lagi, terimakasih. Btw yang baru daftar tambahin kode ku ya : qbvis4 biar bisa akses gratis 7 hari :)",5
"Aplikasi yang bagus untuk digunakan, Namun saya mempunyai masukan, yaitu pemutar audio berhenti saat layar ponsel mati (pada Samsung A50s) Terimakasih untuk perhatiannya, dan saya tunggu perbaikannya.",5
"Terimakasih Riliv dengan adanya aplikasi mengenai kesehatan jiwa dari Riliv saya semakin baik,dari semua sesi meditasi sangat nyaman digunakan serta memberikan hasil bagi kesehatan mental saya yang terganggu oleh anxiety disolder..",5
Sejauh ini pengalamannya menyenangkan. Sangat membantu mengurai isi hati yang kadang tidak bisa kita cerna jika dilakukan sendirian. Dengan fitur journal dari aplikasi riliv aku merasa banyak terbantu.,5
"Karena saya baru mendownload dan juga melihat fitur dari riliv, saya berpendapat bahwa ini akan cukup membantu saya dikesehatan mental saya dan managemen diri dengan baik melalui fitur journal ,journey",5
"Gue suka banget aplikasi ini sangat membantu untuk meditasi dan ada bsnyak sekali pilihan sesuai kondisi yang dibutuhkan, dan yang paling penting (sebagian teks hilang)",5
Aplikasi ini bagus banget cocok buat kalian yang butuh konsul atau meditasi. Buat kalian yang masih bingung coba deh download nanti di kasi arahan gampang bangett. Aku kasi bintang 5 karena emang sebagus itu Setelah download aplikasi ini tidurku lebih nyenyak ga sering overthinking dan lebih relax :) Terimakasih,5
"Terima kasih, Riliv! Saya bisa lebih segar nyaman dan tenang berkat aplikasi ini! Aplikasinya sangat membantu untuk kesehatan mental. Disini juga bisa meditasi dan konseling.",5
"Aplikasi ini sangat berguna bagi saya, karena bisa membimbing saya untuk bermeditasi sejenak dan 'curhat' dengan psikolog. Apalagi disaat kondisi seperti sekarang, aplikasi ini sangat membantu dalam manajemen stress kepada saya yg termasuk tim medis di rumah sakit. Terimakasih.",5
Hai kak oliv. Mau nanya kak. Kan aku udh langganan riliv utk 2 bulan trs mau download konten2 di riliv biar nanti lebih hemat data. Itu nanti makek penyimpanan internal atau penyimpanan kartu sd ya kak utk konten2 yg telah didownload?,5
"dri segi tampilan dan fitur sgt baik trs cara pakainya jg gampang dan ada bbrp fitur yg cmn ada di sini, buat berlangganan jg menurut ku msh tergolong murah cmn yaa metode pembayarannya msh kurang masa cmn s.pay, g.pay, trs tf bank, sama credit card jdi bsa tolong ditambah lgi seperti apk d4n4 yg udh umum digunain kn kasian yg g punya credit card 😊 rekomended 9,5/10",5
"worth it banget aplikasi ini, jujur sangat bermanfaat untuk orang2 yang membutuhkan penyembuhan, ketenangan batin dan segala stes yg dirasakan yang mengganggu fikirannya. dan fasilitas disini bagus2 bgt, ada sesi meditasi sesuai kebutuhan, bisa konsultasi online, bisa bikin journey sesuai isi hati...dll aaa beruntung banget kenal aplikasi riliv 🥰❤✨ thanksss rilivvv",5
"Banyak fitur yg bisa membantu kita. Aplikasinya user friendly dan sering melakukan pembaruan❤️ Ada banyak sekali pilihan jenis meditasi yg disesuaikan dg permasalahan yg kita miliki. Ini aplikasi yg sangat bagus, walau masih pengguna awal, udah keliatan kalau aplikasinya emang sebagus itu. Nggak nyesel download aplikasi ini. Terima kasih karena sudah eksis, Riliv💕",5
"Sangat sangat membantu saya yang sering sekali overthinking. Dengan waktu yang singkat, pikiran dan mental saya sudah sangat rileks, dan itu mempengaruhi kondisi fisik saya. Sepadan dengan biaya yang saya keluarkan.",5
"Aplikasi yang amat sangat bagus dan sangat membantu, apalagi meditasinya. Baru awal tapi saya sudah merasa sangat rileks dan tubuh saya terasa sangat nyaman. Ohiya untuk kalian pengguna baru bisa pakai kode referral untuk meditasi gratis selama 7 hari kodenya : Idtsue",5
"Bagus banget aplikasi ini, beneran diajarin meditasi dari nol pake audio ahli mediator yang bikin tenang banget, coba deh aplikasi ini bener bener bagus, saya yakin hidup saya jadi lebih baik lagi setelah tau meditasi",5
